Type,Description,Reference,Format,Valid COTs,elements_len
49,Setpoint command- scaled value,C_SE_NB_1,SVA + QOS,6-7-8-9-10-44-45-46-47,3
50,Setpoint command- short floating point value,C_SE_NC_1,IEEE STD 754+QOS,6-7-8-9-10-44-45-46-47,5
51,Bit string 32 bit,C_BO_NA_1,BSI,6-7-8-9-10-44-45-46-47,4
58,Single command with time tag CP56Time2a,C_SC_TA_1,,,0
59,Double command with time tag CP56Time2a,C_DC_TA_1,,,0
60,Regulating step command with time tag CP56Time2a,C_RC_TA_1,,,0
61,Setpoint command- normalized value with time tag CP56Time2a,C_SE_TA_1,,,0
62,Setpoint command- scaled value with time tag CP56Time2a,C_SE_TB_1,,,0
63,Setpoint command- short floating point value with time tag CP56Time2a,C_SE_TC_1,,,0
64,Bit string 32 bit with time tag CP56Time2a,C_BO_TA_1,,,0
70,End of initialization,M_EI_NA_1,COI,4,2
100,(General-) Interrogation command,C_IC_NA_1,QOI,6-7-8-9-10-44-45-46-47,1
101,Counter interrogation command,C_Cl_NA_1,QCC,6-7-8-9-10-44-45-46-47,1
102,Read command,C_RD_NA_1,null,5,0
103,Clock synchronization command,C_CS_NA_1,CP56Time2a,3-6-7-44-45-46-47,7
104,(IEC 101) Test command,C_TS_NB_1,FBP,6-7-44-45-46-47,2
105,Reset process command,C_RP_NC_1,QRP,6-7-44-45-46-47,1
106,(IEC 101) Delay acquisition command,C_CD_NA_1,CP16Time2a,6-7-44-45-46-47,2
107,Test command with time tag CP56Time2a,C_TS_TA_1,,,0
110,Parameter of measured value- normalized value,P_ME_NA_1,NVA+QPM,6-7-9-10-20-20+G-44-45-46-47,3
111,Parameter of measured value- scaled value,P_ME_NB_1,SVA + QPM,6-7-20-20+G-44-45-46-47,3
112,Parameter of measured value- short floating point value,P_ME_NC_1,IEEE STD 754+QPM,6-7-20-20+G-44-45-46-47,5
113,Parameter activation,P_AC_NA_1,QPA,6-7-8-9-44-45-46-47,1
120,File ready,F_FR_NA_1,NOF+LOF+FRQ,13,6
121,Section ready,F_SR_NA_1,NOF + NOS + LOF + SRQ,13,8
122,Call directory- select file- call file- call section,F_SC_NA_1,NOF+NOS+SCQ,5-13,5
123,Last section- last segment,F_LS_NA_1,NOF+NOS+LSQ+CHS,13,6
124,Ack file- Ack section,F_AF_NA_1,NOF+NOS+AFQ,13,5
125,Segment,F_SG_NA_1,NOF+NOS+LOS+segment,13,5
126,Directory,F_DR_TA_1,NOF+LOF+SOF+CP56Time2a,3-5,13
127,QueryLog - Request archive file,F_SC_NB_1,,,0
